comp
UAA
HAS
DISCK
CAG
HCP
XOM
NEM
AXP
TXN
ETN
PGR
CNC
FDX
FTI
PRU
MO
SCHW
KIM
EIX
CHTR
BHF
SYMC
BRK.B
HOG
DWDP
AVGO
SWKS
AZO
MAS
HLT
SYF
UTX
SHW
RMD
STZ
CHD
NKE
WLTW
ADP
JCI
MA
FOXA
BF.B
TPR
HON
ADBE
COO
INTU
ALL
HES
KMX
MS
LKQ
APA
ABBV
FOX
DVA
CTXS
CPB
GLW
HBAN
ADSK
TEL
MRK
FE
WMB
CDNS
BDX
AFL
JNPR
NFLX
SLG
RL
FFIV
CSRA
TMO
AIG
AMP
DG
NSC
SJM
PFG
CL
KMB
NTRS
HPE
ZBH
AGN
V
EQR
AEE
TRIP
DLR
CVS
CAH
BA
CAT
EQIX
VNO
MPC
MDLZ
EXC
SEE
XYL
JWN
EMN
FAST
MCD
TGT
UNM
OXY
EOG
MAT
CMA
CB
ITW
NRG
ETFC
SYY
TXT
EL
AES
PYPL
COG
IFF
CTL
ARE
ES
PH
AAP
AME
ROK
ISRG
ATVI
FLS
CI
NOC
GD
RHT
AMG
HST
KO
SNPS
EMR
ALLE
RCL
ALGN
HSIC
IP
PCAR
NAVI
EVHC
COST
AET
SYK
PM
IPGP
CTAS
WU
JPM
PKI
CMI
FMC
EQT
PXD
CBS
DOV
CMS
VLO
WAT
HUM
PCG
IBM
ANTM
GILD
DTE
VZ
SNA
RSG
GRMN
VRTX
RE
IDXX
O
ADS
IT
TROW
EW
AMD
HSY
HII
AVY
MDT
DRI
EXPE
EXPD
AAL
PX
HIG
AEP
WRK
CTSH
ORCL
APD
AMT
WY
UHS
GS
YUM
BAX
